section,half,round_no,battle_no,round,date,team_tag,player_name,class,result,point,opponent_team_tag,opponent_name,opponent_class
4,前半,1,2,2026-08-05,2026-09-02,RC,あぐのむ,ネメシス,LOSE,0,CR,ふぇぐ,ドラゴン
4,前半,1,3,2026-08-05,2026-09-02,CR,ふえた,ナイトメア,LOSE,0,RC,拓海,エルフ
4,前半,1,3,2026-08-05,2026-09-02,RC,拓海,エルフ,WIN,1,CR,ふえた,ナイトメア
4,前半,2,1,2026-08-05,2026-09-02,LVH,Era53,ロイヤル,WIN,1,MRG,Spicies,ネメシス
4,前半,2,1,2026-08-05,2026-09-02,MRG,Spicies,ネメシス,LOSE,0,LVH,Era53,ロイヤル
4,前半,2,2,2026-08-05,2026-09-02,LVH,rikka,ウィッチ,LOSE,0,MRG,Toby,エルフ
4,前半,2,2,2026-08-05,2026-09-02,MRG,Toby,エルフ,WIN,1,LVH,rikka,ウィッチ
4,前半,2,3,2026-08-05,2026-09-02,LVH,だーよね,ナイトメア,WIN,1,MRG,glory,ロイヤル
4,前半,2,3,2026-08-05,2026-09-02,MRG,glory,ロイヤル,LOSE,0,LVH,だーよね,ナイトメア
4,後半,1,1,2026-08-12,2026-09-02,RDL,ぱんさく,ナイトメア,WIN,1,VRL,monakawan,エルフ
4,後半,1,1,2026-08-12,2026-09-02,VRL,monakawan,エルフ,LOSE,0,RDL,ぱんさく,ナイトメア
4,後半,1,2,2026-08-12,2026-09-02,RDL,Stylish_deko,ロイヤル,WIN,1,VRL,まっつ,ロイヤル
4,後半,1,2,2026-08-12,2026-09-02,VRL,まっつ,ロイヤル,LOSE,0,RDL,Stylish_deko,ロイヤル
4,後半,1,3,2026-08-12,2026-09-02,RDL,山田レクイエム,ネメシス,LOSE,0,VRL,Terarina,ビショップ
4,後半,1,3,2026-08-12,2026-09-02,VRL,Terarina,ビショップ,WIN,1,RDL,山田レクイエム,ネメシス
4,後半,2,1,2026-08-12,2026-09-02,DFM,かなで,ビショップ,WIN,1,ZETA,ヘイム,ビショップ
4,後半,2,1,2026-08-12,2026-09-02,ZETA,ヘイム,ビショップ,LOSE,0,DFM,かなで,ビショップ
4,後半,2,2,2026-08-12,2026-09-02,DFM,ミル,ロイヤル,LOSE,0,ZETA,CQCQ,ネメシス
4,後半,2,2,2026-08-12,2026-09-02,ZETA,CQCQ,ネメシス,WIN,1,DFM,ミル,ロイヤル
4,後半,2,3,2026-08-12,2026-09-02,DFM,ユーリ,ネメシス,LOSE,0,ZETA,TBT,エルフ
4,後半,2,3,2026-08-12,2026-09-02,ZETA,TBT,エルフ,WIN,1,DFM,ユーリ,ネメシス
5,前半,1,1,2026-08-19,2026-09-02,CR,ふぇぐ,ドラゴン,LOSE,0,MRG,Toby,エルフ
5,前半,1,1,2026-08-19,2026-09-02,MRG,Toby,エルフ,WIN,1,CR,ふぇぐ,ドラゴン
5,前半,1,2,2026-08-19,2026-09-02,CR,ふえた,ネメシス,LOSE,0,MRG,glory,ロイヤル
5,前半,1,2,2026-08-19,2026-09-02,MRG,glory,ロイヤル,WIN,1,CR,ふえた,ネメシス
5,前半,1,3,2026-08-19,2026-09-02,CR,Atom,エルフ,LOSE,0,MRG,マイト,ネメシス
5,前半,1,3,2026-08-19,2026-09-02,MRG,マイト,ネメシス,WIN,1,CR,Atom,エルフ
5,前半,2,1,2026-08-19,2026-09-02,RC,たばた,ドラゴン,WIN,1,RDL,ぱんさく,ビショップ
5,前半,2,1,2026-08-19,2026-09-02,RDL,ぱんさく,ビショップ,LOSE,0,RC,たばた,ドラゴン
5,前半,2,2,2026-08-19,2026-09-02,RC,つきあかめん,エルフ,LOSE,0,RDL,Chappy,ロイヤル
5,前半,2,2,2026-08-19,2026-09-02,RDL,Chappy,ロイヤル,WIN,1,RC,つきあかめん,エルフ
5,前半,2,3,2026-08-19,2026-09-02,RC,あぐのむ,ネメシス,LOSE,0,RDL,山田レクイエム,ウィッチ
5,前半,2,3,2026-08-19,2026-09-02,RDL,山田レクイエム,ウィッチ,WIN,1,RC,あぐのむ,ネメシス
5,後半,1,1,2026-08-26,2026-09-02,DFM,かなで,ロイヤル,LOSE,0,LVH,Era53,エルフ
5,後半,1,1,2026-08-26,2026-09-02,LVH,Era53,エルフ,WIN,1,DFM,かなで,ロイヤル
5,後半,1,2,2026-08-26,2026-09-02,DFM,ユーリ,ネメシス,LOSE,0,LVH,rikka,ウィッチ
5,後半,1,2,2026-08-26,2026-09-02,LVH,rikka,ウィッチ,WIN,1,DFM,ユーリ,ネメシス
5,後半,1,3,2026-08-26,2026-09-02,DFM,ミル,エルフ,WIN,1,LVH,だーよね,ネメシス
5,後半,1,3,2026-08-26,2026-09-02,LVH,だーよね,ネメシス,LOSE,0,DFM,ミル,エルフ
5,後半,2,1,2026-08-26,2026-09-02,VRL,Mishadow51,エルフ,WIN,1,ZETA,CQCQ,ナイトメア
5,後半,2,1,2026-08-26,2026-09-02,ZETA,CQCQ,ナイトメア,LOSE,0,VRL,Mishadow51,エルフ
5,後半,2,2,2026-08-26,2026-09-02,VRL,Terarina,ドラゴン,WIN,1,ZETA,TBT,ドラゴン
5,後半,2,2,2026-08-26,2026-09-02,ZETA,TBT,ドラゴン,LOSE,0,VRL,Terarina,ドラゴン
5,後半,2,3,2026-08-26,2026-09-02,VRL,まっつ,ネメシス,LOSE,0,ZETA,ヘイム,ロイヤル
5,後半,2,3,2026-08-26,2026-09-02,ZETA,ヘイム,ロイヤル,WIN,1,VRL,まっつ,ネメシス
6,,1,1,2026-08-30,2026-09-02,CR,空白,ドラゴン,WIN,1,RDL,Chappy,ウィッチ
6,,1,1,2026-08-30,2026-09-02,RDL,Chappy,ウィッチ,LOSE,0,CR,空白,ドラゴン
6,,1,2,2026-08-30,2026-09-02,CR,Atom,エルフ,LOSE,0,RDL,ぱんさく,ビショップ
6,,1,2,2026-08-30,2026-09-02,RDL,ぱんさく,ビショップ,WIN,1,CR,Atom,エルフ
6,,1,3,2026-08-30,2026-09-02,CR,ふえた,ビショップ,WIN,1,RDL,折り紙,ネメシス
6,,1,3,2026-08-30,2026-09-02,RDL,折り紙,ネメシス,LOSE,0,CR,ふえた,ビショップ
6,,2,1,2026-08-30,2026-09-02,DFM,ユーリ,ナイトメア,LOSE,0,MRG,Spicies,ネメシス
6,,2,1,2026-08-30,2026-09-02,MRG,Spicies,ネメシス,WIN,1,DFM,ユーリ,ナイトメア
6,,2,2,2026-08-30,2026-09-02,DFM,MingiGod,ビショップ,LOSE,0,MRG,Toby,ビショップ
6,,2,2,2026-08-30,2026-09-02,MRG,Toby,ビショップ,WIN,1,DFM,MingiGod,ビショップ
6,,2,3,2026-08-30,2026-09-02,DFM,ミル,ドラゴン,WIN,1,MRG,glory,ロイヤル
6,,2,3,2026-08-30,2026-09-02,MRG,glory,ロイヤル,LOSE,0,DFM,ミル,ドラゴン
6,,3,1,2026-08-30,2026-09-02,RC,ぱらちゃん,ナイトメア,LOSE,0,ZETA,ヘイム,ネメシス
6,,3,1,2026-08-30,2026-09-02,ZETA,ヘイム,ネメシス,WIN,1,RC,ぱらちゃん,ナイトメア
6,,3,2,2026-08-30,2026-09-02,RC,たばた,ネメシス,LOSE,0,ZETA,CQCQ,ナイトメア
6,,3,2,2026-08-30,2026-09-02,ZETA,CQCQ,ナイトメア,WIN,1,RC,たばた,ネメシス
6,,3,3,2026-08-30,2026-09-02,RC,拓海,ロイヤル,WIN,1,ZETA,ねぎま,ウィッチ
6,,3,3,2026-08-30,2026-09-02,ZETA,ねぎま,ウィッチ,LOSE,0,RC,拓海,ロイヤル
6,,4,1,2026-08-30,2026-09-02,LVH,Hirobosu,ナイトメア,WIN,1,VRL,Terarina,ドラゴン
6,,4,1,2026-08-30,2026-09-02,VRL,Terarina,ドラゴン,LOSE,0,LVH,Hirobosu,ナイトメア
6,,4,2,2026-08-30,2026-09-02,LVH,Era53,ネメシス,WIN,1,VRL,Mishadow51,ナイトメア
6,,4,2,2026-08-30,2026-09-02,VRL,Mishadow51,ナイトメア,LOSE,0,LVH,Era53,ネメシス
6,,4,3,2026-08-30,2026-09-02,LVH,rikka,ロイヤル,WIN,1,VRL,まっつ,ウィッチ
6,,4,3,2026-08-30,2026-09-02,VRL,まっつ,ウィッチ,LOSE,0,LVH,rikka,ロイヤル
